news_id,category,subcategory,content
N8567,movies,movievideo,Trailer - The Warrior Queen of Jhansi. Trailer 1
N54663,foodanddrink,restaurantsandnews,"America's 35 best seafood shacks. America's best seafood shacks serve super-fresh fish along with plenty of sun to locals and tourists alike, and these are the 35 best."
N56044,foodanddrink,restaurantsandnews,Do Restaurants Have an Obligation to Let You Use the Bathroom?. Why some people are fighting to give restaurant-bathroom access to more people.
N2867,foodanddrink,foodnews,10 Things You Need to Know About Your Vintage Fiestaware. There's so much to love about America's most colorful and collectible dishes.
N4239,autos,autosclassics,"Huge Collection Of Project Cars Up For Auction In South Dakota. A little time, money and vision will go a long way with these cars."
N30402,sports,football_nfl,"Bobby Wagner becomes franchise leader in tackles, makes key plays vs Falcons. Kenneth Arthur and Brandan Schulze recap the Seahawks 27-20 win over the Falcons"
N21157,movies,movievideo,Trailer - Full Count. Official Trailer
N28128,lifestyle,voices,"I Used to Be Ashamed of My Heritage, Until I Realized It's the Most Beautiful Thing I Have. My friends in the United States recognize me as Latina, but to my friends in the Dominican Republic, I'm always La Gringa."
N58445,video,lifestyle,"Inside the biggest legal marijuana factory in the United States. We've been called that before, the Willy Wonka of weed. 60 Minutes checks out a pot processing plant holding ""tens of thousands"" of pounds of legal weed, Sunday at 7:30 p.m. ET and 7 p.m. PT"
N7151,movies,movievideo,Trailer - Polaroid. Official Trailer
N15343,sports,football_nfl,Dwayne Haskins takes first-team reps at Washington's practice. Will a new coach be good news for Dwayne Haskins?
N22272,news,newsus,"Care program supervisor takes deal in sex exploitation case. Court records say Bruce Enger, 64, pleaded guilty Thursday to sexual exploitation by a counselor or therapist. His sentencing is scheduled for Dec. 20."
N22323,finance,markets,Trump blasts Fed as policymakers meet on rates. Trump blasts Fed as policymakers meet on rates
N37927,autos,autosluxury,"Mercedes E-Class Sedan, Wagon Spied Hiding Facelift. Expect small changes inside and out."
N20147,movies,movievideo,Trailer - Bombshell. Trailer 2
N984,health,nutrition,'My Hair Started Falling Out At 402 Lbs. So I Joined A Keto Facebook Group And Dropped 150 Lbs. Naturally'. I lost 150 pounds naturally in a year.
N36603,finance,finance-retirement,3 Social Security mistakes that could cost you a fortune. Your choices influence the size of your Social Security checks. Making these mistakes could accidentally shrink them.
N61001,sports,football_nfl,Packers begin stretch of three-straight games against AFC West. The Packers will play three straight AFC West opponents for the first time since 2003.
N31743,sports,football_ncaa,"LSU surging, Big Ten reckoning and more we learned from college football's 'Separation Saturday'. It was a telling week of college football, one that sets up these major storylines in the back half of the season:"
N5886,health,wellness,"Daphne Oz Just Shared the Most Relatable Abs Photo 10 Weeks After Giving Birth. The 33-year-old host of ""Master Chef Junior"" shared a super-relatable selfie on Monday."
N61030,news,newsus,"These 3 men decide when PG&E shuts off power to millions. Infuriated Californians who lost power in PG&E's wildfire safety shut-offs earlier this month have been wondering: Who exactly made the final call to cut power? The three names were revealed in a filing made to California utility regulators Thursday. The report indicated that the three men are Michael Lewis, senior vice president of electric operations, Sumeet Singh, vice president of asset and risk management, and Ahmad Ababneh, vice president..."
N34739,sports,football_nfl,"Reich's Best/Worst Decisions: Week 8 Vs. Broncos. On what was perhaps the worst-coached game in Reich's tenure, the Colts still managed an ugly win that keeps them near the top of the AFC."
N58873,video,viral,Fumbling Bumbling Crooks! Footage Shows Pair Of Thieves Try 5 Times To Steal ATM!. Usually 3 times.. the charm but for these bumbling crooks they tried 5 times to steal this cash machine. Buzz60's Mercer Morrison has the story.
N64133,sports,golf,"After Zozo win, Tiger seems certain on picking self for Presidents Cup. With Presidents Cup captain's picks looming, Tiger Woods made a statement right when he needed to, and now he seems to feel certain about picking himself for the U.S. team."
N40637,sports,football_nfl,"Report: Patriots tried to trade for OJ Howard, were turned down. In need of help at the tight end position since Rob Gronkowski's retirement, the Patriots have reached out to the Bucs for their young star, OJ Howard... though they don't seem to have gotten any results."
N23561,autos,autosclassics,"Genuine Barris Custom 1958 Corvette Up For Sale. This wild looking first-generation Chevy Corvette looks suspiciously similar to another famous custom. But then it should, as it was created by George Barris himself..."
N31663,movies,movies-celebrity,Arnold Schwarzenegger's photo flashback. Take a look back at Arnold Schwarzenegger's highs and lows in this photo flashback.
N45288,foodanddrink,recipes,This Guy Fieri Spoof Costume Was Posted On Twitter And People Are Obsessed. Do they celebrate Halloween in Flavortown?
N63015,movies,movies-gallery,"The most talented actresses under 30. Ah, to be young, talented and famous..."
N57092,sports,football_ncaa,"Wisconsin, Boise State take major tumbles in latest Coaches Poll. The first loss of the season for both Wisconsin and Boise State saw each team fall back in the Amway Coaches Poll. Alabama remains No. 1 ahead of Clemson."
N30924,health,fitness,"The Rock's Gnarly Palm Is a Testament to Life Without Lifting Gloves. Dwayne ""The Rock"" Johnson's gnarly palm was on display in a recent Instagram snap. But don't be grossed out   think of it as a testament to hard work and loads of reps."
N25534,news,newsus,Charges Held Against Gateway Football Player Facing 6 Felonies. A Gateway High School football player facing six felonies in connection with an armed robbery in August had his preliminary hearing.
N41260,health,mentalhealth,"The scary anxiety symptom you might be overlooking. Anxiety may be a mental health condition, but it also manifests itself via physical symptoms."
N18015,sports,basketball_nba,What we got wrong: Biggest preseason surprises about the Phoenix Suns. The Bright Side Staff reflects on off-season predictions and expectations to see what stuck.
N54035,lifestyle,voices,"Why I Finally Forgave My Father's Mistress. Now, we are on a shared mission: to understand and make peace with the past."
N64049,news,newsworld,"After Soldiers Surrender El Chapo's Son, a Shocked Mexican City Sighs With Relief. In the days following the siege of the city of Culiacán by the Sinaloa cartel, residents were overcome with relief: Relief that the terror is over."
N51887,video,news,Rep. Devin Nunes on the House impeachment investigation. California Republican Rep. Devin Nunes tells Jesse Watters what he's hearing from witnesses during impeachment inquiry hearings.
N9219,news,newspolitics,"Elizabeth Warren's campaign says it's reviewing ""other revenue options"" for Medicare for All. Elizabeth Warren's campaign said on Wednesday that it is studying a range of options for paying for ""Medicare for All,"" leaving open the possibility that the presidential candidate may ultimately diverge from Sen. Bernie Sanders on how his sweeping health care plan -- which Warren has endorsed -- would be paid for."
N54619,finance,financenews,"President Trump: 'We're Building A Wall In Colorado'. President Donald Trump said, ""We're building a wall in Colorado"" when talking about border wall progress on Wednesday afternoon."
N23993,weather,weathertopstories,"Another day of above normal temperatures with a high near 90; two cold fronts on the way. Cloudy skies and a slight chance of rain will make way for another day of warm, above normal temperatures for the Austin area Sunday will be partly sunny with a high near 90 and an overnight low around 65. A chance for rain is possible throughout the day with increased chances mainly after 1 a.m, the National Weather Service said. Remember how some of us were hoping for ""fall"" weather? It's ..."
N10518,health,medical,"Doctors Explain the Exact Steps You Should Take After a Nasty Spider Bite. Most bites are pretty harmless, but some warrant medical attention."
N37291,news,newsopinion,"Kurdish, Syrian, and Turkish Ironies. Critics now upset about abandoning our Kurdish friends demanded abject withdrawals   and the abandonment of friends   in Afghanistan and Iraq."
N31020,finance,finance-savemoney,30 things you should never buy without a coupon. Search for a coupon before purchasing these items.
N1966,news,newsus,Black security officer who was fired for repeating racial slur gets job back. The reversal came after student protests and a grievance from the officer's union.
N56019,finance,finance-real-estate,"Gwen Stefani sold her Beverly Hills mansion for $21.65 million   take a look inside. Built in 1998 and renovated in 2003, the 15,000-square-foot estate has seven bedrooms and 10 bathrooms. Geometric designs are consistent throughout the home, along with neon colors and accents of stone. ""The entire style of the house is a visual delight,"" according to the listing."
N6354,lifestyle,lifestylecleaningandorganizing,"20 Crazy Cleaning Tips That Actually Work. You may have your allegiances to certain brands of cleaning products, but are they really getting the job done? If you have an especially tough cleaning problem to solve and the usual supplies just aren't cutting it, maybe it's time for a slightly more unconventional approach, one that involves grabbing a few items from the pantry or trying a wacky, off-the-wall cleaning trick. Ready for a little adventure? Here are 20 crazy cleaning tips that actually work."
N35893,sports,football_nfl,"UConn football frustration clear after second-quarter sequence. Some of the frustration around UConn football this year seemed to bubble over just before halftime of a 49-7 loss Saturday, after the Huskies punted on fourth-and-1 from about midfield. UConn, down 28-0 at the time, faced second-and-1 at the opposing 46-yard line and looked well-positioned to add some points heading toward the break. But quarterback Mike Beaudry launched an incomplete pass, ..."
N42957,travel,traveltripideas,"14 Under-the-Radar Destinations in Latin America. We've all heard of Machu Picchu, Rio de Janeiro, Buenos Aires, but Latin America offers 8 million square miles of opportunities that encompass a vast array of landscapes, cities, resorts, villages, natural wonders, and more. Check out our list of overlooked destinations that range from Mexico to Patagonia."
N28284,autos,autosnews,"Vehicle catches fire on I-95, University Boulevard; Outside southbound lane closed. The Jacksonville Sheriff's Office is on the scene of a vehicle fire on Interstate-95 and University Boulevard Saturday night. The fire shut down all southbound lanes but as of 9:22 p.m. the outside southbound lane is the only lane that remains closed, according to Florida Highway Patrol's crash map. Stay with First Coast News for more updates on this developing story."
N9144,sports,basketball_nba,"Thunder deny report claiming ticket prices are going down. Oklahoma City Thunder ticket prices are going down, according to a report from a secondary-ticket resale site. But the team disputes the report and said it doesn't reflect the way most people buy Thunder tickets. ""Those numbers saying that the prices have gone down -- that's all more focused on the resale across the country of tickets. That has nothing to do with how we sell tickets,"" said Thunder spokesman Dan Mahoney. The numbers came out in a..."
N10670,news,newsus,James O'Neill: A Timeline. A look back at the outgoing police commissioner's early life and career in the New York City Police department.
N57386,news,newsscienceandtechnology,Female astronauts school Trump from outer space. The US president got a critical detail wrong on his call with NASA astronauts.
N51555,news,newsoffbeat,"A bus fell into a sinkhole Downtown, and the Internet rejoiced. Sometimes, the Internet is good. It has a tendency to be bad more often than it should, but yesterday it was most definitely good. In case you missed it, a Port Authority bus fell into a sinkhole Monday morning Downtown at 10th Street and Penn Avenue. It has since been extracted from said sinkhole, but the road literally collapsing is still an ogoing story on multiple fronts. Once it was confirmed that no one was hurt, the Internet collectively..."
N24468,sports,more_sports,"A running diary of the Orlando Magic's point guard rotation. Lets focus entirely on the utilization and contribution of D.J. Augustin, Markelle Fultz and Michael Carter-Williams"
N31269,travel,travelnews,"Alaska Airlines will drop two Hawaii-California routes, bolster others. Alaska Airlines is consolidating its flying to Kona on the big island of Hawaii, ending routes to two California airports. The move comes Southwest Airlines continues to expand its presence in the market. A"
N7279,news,newsus,"A year after Hurricane Michael, housing remains a challenge. PANAMA CITY, Fla. (AP)   It has been a year since Hurricane Michael roared across the eastern Florida Panhandle, a Category 5 storm that laid waste to the coastline and ravaged areas far inland."
N37890,weather,weathertopstories,"'Large' Storm To Arrive In PA On Halloween, Forecasters Say. A storm is predicted to reach the region squarely on Halloween, just in time for trick-or-treating, multiple forecasters are now saying."
N20805,sports,football_nfl,Ravens vs. Seahawks: Week 7 Inactive List. Both teams will be missing key players in today's marquee matchup
N34296,news,newscrime,"Family of missing 5-year-old Bridgeton girl says 'she will be found'. The family of a 5-year-old Bridgeton girl, who has been missing for more than a month, is not giving up hope of finding her. They met with reporters once again near the site where Dulce Maria Alavez vanished in the Bridgeton City Park on Sept. 16. Even through a language barrier, the anxiety Dulce's family has been through since the toddler went missing was tangible Wednesday. ...listen to the audio... Dulce's..."
N52167,travel,traveltripideas,"10 'Brady Bunch' filming locations that every fan should visit. With the 50th anniversary of ""The Brady Bunch"" happening in 2019 and a new series commemorating the event, the show is going strong. Consider these top Brady Bunch locales to visit on your next trip to Southern California."
N35329,weather,weathertopstories,"Coldest air of the season arrives this week along with possibility for first flakes of snow.. Winter is still well over a month away -- it begins Dec. 21, to be exact -- but a very cold air mass appears headed for the Northeast in time for the weekend. The cold air may also bring with it some snow for parts of southern New England."
N36223,sports,football_nfl,"Dwayne Haskins is starting to show a lot of improvement in practice. Interim coach Bill Callahan says that Haskins has taken major steps forward, and word out of practice is that the rookie is making plays."
N16086,travel,travelarticle,"Giant Nickelodeon theme park, ice rink open at American Dream in New Jersey this week. EAST RUTHERFORD, N.J.   Dora the Explorer is headed to New Jersey on Friday along with SpongeBob SquarePants and other beloved Nickelodeon characters. They'll be at Nickelodeon Universe in the American Dream mall. American Dream's NHL-regulation size ice rink is also set to open Friday. Nickelodeon Universe will be the largest indoor theme park on the continent. It features over 35 rides, ..."
N1895,health,wellness,"The 5 worst dishes you can eat at buffet, according to food safety experts. Buffets can breed germs that lead to food poisoning. Choose foods that are kept at the correct temperature and left untampered by other patrons."
N60239,video,science,Missing Link To Human Evolution Discovered: An Ape and Human All-In-One!. Researchers believe a new species of primate discovered in Germany could hold the key to explaining human evolution. Veuer's Lenneia Batiste has more.
N49791,video,viral,"When world leaders visit the Trump White House, things can get awkward. The president of Finland is not the only world leader whose visit to the White House was overshadowed by President Trump's controversies."
N13508,news,newspolitics,"Trump Allies Craft List of Potential Mulvaney Replacements. Some of Donald Trump's closest associates are assembling a roster of possible replacements if the president decides to replace Mick Mulvaney, his acting chief of staff, said three people close to the situation."
N4848,health,weightloss,"The Midlife Weight-Gain Struggle Is Real. Here's What You Can Do About It. Even if you haven't changed your diet and exercise, you may notice your pants getting snugger and snugger."
N6938,news,newspolitics,"The lawyer at the center of the Ukraine vortex. John Eisenberg, the attorney who is emerging as a central figure in the Ukraine scandal, is a quiet and unassuming presence in a White House dominated by more colorful personalities."
N40716,tv,tv-celebrity,Lori Loughlin Is 'Absolutely Terrified' After Being Hit With New Charge. Lori Loughlin Is 'Absolutely Terrified' After Being Hit With New Charge
N12435,sports,basketball_nba,"'I can't just sit there': Tampa firefighter runs for Safety Harbor mayor. Tanja Vidovic is still a Tampa firefighter after winning her case. The city was forced to reinstate her. ""I had had three pregnancies on the job. There was a lot of discrimination and harassment mostly due to the pregnancy. When I complained about it, it just got worse and it was like that for months,"" Vidovic said. After years of complaints, she took her concerns to court in 2015 and filed a lawsuit against the department. In 2017, she won and..."
N6736,news,newsus,"Witnesses take the stand as Planned Parenthood and Missouri's health department battle over abortion license. The fight continues on day two as Planned Parenthood and Missouri's Department of Health and Senior Services go head to head. After the first day's opening statements and hearing from the state's first expert witness, we listen to more state witnesses on Tuesday. The state is thoroughly going through the four failed abortions and the investigation process. The day started off with the state's second witness, William Koebel. He's been with the..."
N27308,sports,baseball_mlb,"Astros run the table at Washington, take 3-2 World Series lead. WASHINGTON   The crowd wore red and rose as one, serenading a spot starter soon to be shellacked. Chants of Joe Ross' name engulfed this excitement-starved ballpark the Astros overtook. Washington waited 86 years for World Series baseball, only to be delivered a dismantling. Embroiled in uncertainty when they entered, the Houston Astros exited Washington on the cusp of a championship. Twenty-seven innings were played inside Nationals Park. Not..."
N48891,music,music-gallery,The Richest Boy Bands: From the Beatles to BTS. Some of these boys have become very rich men.
N55922,news,newsus,Prosecutors want black judge who criticized incarceration rates of African Americans removed. Iberia Parish judge Lori Landry has questioned the large number of black Louisianans incarcerated by the district attorney's office
N55289,sports,mma,Diaz rewatches McGregor win: Dana White was crying. Nate Diaz looks back on his monumental win over Conor McGregor at UFC 196 three years ago.
N64660,weather,weathertopstories,"Timeline For First Dose Of Winter Weather In Eastern PA. Ready or not, here winter comes. Here's what you can expect this week:"
N28811,movies,movievideo,Trailer - Scandalous. Official Trailer
N11346,news,newsworld,"12 Hours. 4 Syrian Hospitals Bombed. One Culprit: Russia.. The Russian Air Force has repeatedly bombed hospitals in Syria in order to crush the last pockets of resistance to President Bashar al-Assad, according to an investigation by The New York Times. An analysis of previously unpublished Russian Air Force radio recordings, plane spotter logs and witness accounts allowed The Times to trace bombings of four hospitals in just 12 hours in May and tie Russian pilots to each one."
N18378,foodanddrink,restaurantsandnews,"America's best inexpensive steakhouses. Most steakhouses are far outside most people's price range, but there are plenty of steakhouses that are downright affordable."
N55852,finance,finance-savemoney,11 Expenses That Quietly Drain Your Wallet. It's scandalously easy to overspend in these areas of your life.
N29609,video,viral,"Los Angeles opera star performs on stage after life-changing viral video. Emily Zamourka's life changed dramatically after a video went viral of her homeless and singing in a Los Angeles subway station. Since it's been shared, many have reached out to help Zamourka and she accomplished her dream of singing on stage."
N40215,news,newsus,"One dead in Boynton Beach shooting. Friday, Boynton Beach police responded to a shooting at the Cherry Hill Mini Market on Northwest Fourth Street around 12 p.m. One male was shot and transported to a hospital, where he later died. According to a Cherry Hill Market employee, the victim was in front of the store on a bicycle when someone in a car pulled up and shot him. She says the victim then ran inside the store for help. This is an active investigation. Anyone with information..."
N55925,news,newspolitics,"Amid Show of Support, Trump Meets With Giuliani Over Lunch. President Trump had lunch on Saturday with Rudolph W. Giuliani amid revelations that prosecutors were investigating Mr. Giuliani for possible lobbying violations, and speculation that his position as the president's personal lawyer was in jeopardy."
N6370,weather,weathertopstories,"Miserable weather predicted for Halloween in Michigan: Rain, wind, maybe even snow. The Michigan trick-or-treat forecast looks awful, with a high chance of rain and perhaps snow in some areas."
N21853,video,viral,"'Clueless' actress arrested for domestic violence. Stacey Dash, the former conservative commentator and actress who played Dionne in ""Clueless,"" was arrested and charged with domestic violence in Florida."
N560,movies,movievideo,Trailer - Abominable. Trailer 2
N45334,sports,football_ncaa,Technical Tidbits 10/15: Recruits Still Seem to be Happy. Volleyball garners an accolade.
N12785,sports,baseball_mlb,"With Carlos Beltran hire it's clear the Mets learned nothing from the Mickey Callaway mess. In hiring Carlos Beltran to guide their fortunes next year, the Mets hierarchy once again out-thought themselves by going ""outside-the-box"" for someone who had never managed anywhere before."
N19994,movies,movievideo,Trailer - Bennett's War. Trailer 1
N27698,foodanddrink,restaurantsandnews,"The Best Bar to Watch Football in Every State. It's the early days of football season (and of the hundredth season of the NFL), and in all 32 pro football cities and almost every college town in America, fans are filling stadiums or -- in far greater numbers -- sports bars and similar establishments."
N29131,sports,mma,Video: Gabriel Gonzaga knocks out 'Bigfoot' Silva at BKFC 8. Gabriel Gonzaga needed less than four minutes to hand fellow UFC vet Antonio Silva another KO loss at BKFC 8.
N6261,health,medical,7 Signs of Disease Your Teeth Can Reveal. These red flags of dental problems in your mouth may signal a health issue happening elsewhere in the body.
N26606,autos,autosenthusiasts,2020 Shelby GT500 Aero Performance & Cooling. Supercomputers and 3-D Printing are secrets to the all-new Mustang Shelby GT500's high performance.
N32773,sports,soccer,"Christian Pulisic, Tammy Abraham lead Chelsea to fifth straight Premier League win (video). "
N11040,news,newsus,"Florida Senate votes to remove Broward Sheriff Scott Israel. Florida's state Senate on Wednesday voted to uphold the suspension of former Broward County Sheriff Scott Israel, officially removing him from office. Governor Ron DeSantis suspended Israel in January, saying his incompetence led to poor response from his deputies during the mass shooting at Marjory Stoneman Douglas high school in Parkland. ""My first thoughts are with the families and the friends who lost loved ones on that horrific February..."
N33504,finance,finance-small-business,"Why this falafel business founder turned down $300,000 from Mark Cuban on 'Shark Tank'. When TaDah Foods founder John Sorial appeared on Sunday's night episode of ""Shark Tank,"" he got offers from two investors   and faced a ""feeding frenzy"" of the sharks."
N46575,sports,football_nfl,"Watch: Lions fans mercilessly boo referees during Sunday's coin toss. After last week, there's not much love for zebras in Detroit."
N53214,news,newsgoodnews,These 30 Incredible Kids Really Changed the World. Proof that you can make a difference at any age.
N5189,autos,autosenthusiasts,The Innards of This Chevy Silverado's Allison Transmission Prove That Witchcraft Is Real. 
N23094,lifestyle,lifestyledidyouknow,50 Facts So Genius You'll Feel Like Einstein. The famed physicist would want you to know these crazy facts!
N27896,lifestyle,lifestyleroyals,"Billionaire heiress Tatiana Santo Domingo is now the wealthiest citizen of Monaco, where one-third of the country's population has assets over $1 million. Heiress, fashionista, and member of Monaco's royal family Tatiana Santo Domingo has a net worth of $2 billion. Here's a look at her life."
N15611,autos,autosnews,Man And Woman Arrested For Unauthorized Use Of A Vehicle After Failing To Return It After A Test Drive. Two people were arrested for taking a car and not returning it to its owner following a test drive.
N37333,news,newsworld,Justin Trudeau: no plans 'at all' for a coalition. The prime minister's Liberal Party retained power in Monday's election but fell short of a majority.
N64115,health,nutrition,"If You Want to Lose Weight, Track Your Macros Using This Dietitian's Simple Plate Hack. Most dietitians will encourage their clients to eat meals and snacks with all three macronutrients (macros): protein, fats, and carbs."
N46127,lifestyle,lifestyleroyals,An Unusual Princess: Mette-Marit of Norway. An Unusual Princess: Mette-Marit of Norway
N12540,sports,football_nfl,"NFL Expert Picks: Experts are all-in on the Steelers on Monday Night Football. The Pittsburgh Steelers could have a ""get right"" game in Week 8 when they host the Miami Dolphins at Heinz Field."
N36563,sports,icehockey_nhl,"Blackhawks still waiting for Jonathan Toews and Patrick Kane to emerge from slow starts. CHICAGO - The question hung in the air for a few seconds as Blackhawks coach Jeremy Colliton thoughtfully considered the right way to answer. It was a fair query about whether Jonathan Toews had improved in Monday's 3-1 win over the Oilers. Toews finally recorded an assist after going scoreless during the Blackhawks' first three games, in which he appeared to be out of sync with his linemates. ..."
N8083,lifestyle,lifestylebuzz,"Lynnwood police seek public's help finding 65-year-old woman missing since September. The Lynnwood Police Department is asking for the public's help locating a missing 65-year-old woman. According to police, Alexandria Youn Suk Kim has not been seen or heard from since September 2, 2019. Records show Kim took a taxi to Sea-Tac International Airport. She was reported missing on September 18. Kim is 5'4"" tall, weighs about 120-pounds with thinning black hair, brown eyes, and occasionally wears glasses. She may be wearing a knit..."
N14644,entertainment,celebrity,"Charlize Theron & Margot Robbie Have Some Face Time in L.A., Plus Priyanka Chopra Jonas, Will Smith & More. Star Tracks: Tuesday, October 15, 2019"
N9984,autos,autosnews,Here's what caused the York Fair Ferris wheel accident that injured three people. Two people required hospital treatment - and a third person was injured - during an accident involving the Ferris wheel at the 2019 York Fair.
N58991,sports,football_nfl,"Bills D delivers in 31-21 victory over winless Dolphins. ORCHARD PARK, N.Y. (AP)   Tre'Davious White forced two second-half turnovers, Micah Hyde returned an onside kick for a touchdown, and the Buffalo Bills rallied from a five-point deficit for a 31-21 victory over the winless Miami Dolphins on Sunday. The Bills, who began the day favored by 17 points, avoided what would have been a major upset against a patchwork Dolphins opponent in a major rebuilding mode. Josh Allen led fourth-quarter touchdown..."
N35807,news,newscrime,"JPSO: Man dies after fight outside Harvey bar. A man has been charged with manslaughter after a victim died from injuries sustained in a physical altercation outside of a bar in Harvey, the Jefferson Parish Sheriff's Office said. The fight occurred in the parking lot of a bar around 11:15 p.m. in the 1500 block of Lapalco Boulevard, the JPSO said. Sign up for our Newsletters According to Sheriff Joseph Lopinto, the victim and a friend were confronted by 37-year-old Thanh Nguyen as they left..."
N59177,movies,movies-celebrity,"Johnny Depp Trial Over Location Manager's Assault Suit Delayed to May. On Wednesday afternoon, Judge Holly Fujie ordered the trial postponed."
N49951,news,newsus,"Mom says fuel mix-up at Costco station in Manchester damaged her car. Natalie Lutkewitte often buys gas at Costco Gasoline on Highlands Boulevard Drive in Manchester. On Friday morning, the Eureka mom said she filled up her 2017 Chevrolet Suburban at the west St. Louis County gas station, and within minutes of leaving, she got big surprise. ""My whole suburban just started shaking, making this loud noise and would not move at all while I was pushing the gas pedal.... My check engine light came on and I was in the..."
N29434,health,weightloss,"Here's How Much Weight Is Realistic to Lose in a Month, According to Experts. We hate to break it to you, but you won't lose it like they do on ""The Biggest Loser."" Experts explain what's safe   and sustainable."
N30621,travel,travelnews,Police stop protest at Sea-Tac Airport before it can begin. There was no disruption in airport operations Saturday despite concerns over a large planned protest at Sea-Tac International Airport. A group upset with a connection between United Airlines and Turkish Airlines and the President of Turkey had hoped to bring a large crowd inside to cause a disruption. The airport said the group did not have a permit and they called in a large police response to prevent disruption. Officers from several...
N26502,tv,tv-gallery,"11 Shows to Queue Up on Netflix If You're Seriously Missing Fleabag. Even after being crowned with several awards including best comedy at this year's Emmy Awards, Fleabag is sticking to the plan: no more episodes."
N48801,news,newspolitics,Candidates spar over health care at key Iowa event. The event came after Elizabeth Warren unveiled her much-anticipated proposal to pay for Medicare for All​.
N14624,lifestyle,lifestyleshopping,"The best weighted blankets in 2019: Gravity, Bearaby and more. These are some of the most stylish and well-rated weighted blankets you can buy."
N32256,finance,personalfinance,"How to quit stalling and write your will. You know you should have a will, but you keep stalling."
N7201,tv,humor,Pete Davidson Returns to 'Saturday Night Live' and Reveals Why He Really Missed the Last Two Episodes. The actor joined guest host David Harbour and sat down for a 'Weekend Update' segment on the latest episode of 'SNL.'
N17386,sports,football_nfl,"CBS predicts O.J. Howard trade to Patriots. As the hours wind down toward Tuesday's 4 p.m. NFL trade deadline, the Patriots may or may not be in line to add to the team's undefeated roster. ""I am sure anything is possible. It's hard to say,"" Bill Belichick said Monday on Ordway, Merloni & Fauria. ""We'll see."" New England already swung a deal with the Falcons last week for wide receiver Mohamed Sanu, but CBS Sports is predicting that the Patriots aren't done adding to Tom Brady's offensive..."
N18905,foodanddrink,newstrends,China's Braised Chicken Mega-Chain Opens Two Restaurants in Los Angeles This Weekend. Experience Yang's Braised Chicken Rice's one dish wonder on October 26 in Rowland Heights and San Gabriel
N13110,lifestyle,lifestylebuzz,15 readers share their best Halloween costumes. We asked for your all-time greatest. You delivered.
N26258,autos,autosnews,"All US Highway 52 lanes near University Parkway back open after traffic crash involving tractor-trailer. All lanes of US Highway 52 near University Parkway are back open after a traffic crash involving a tractor-trailer, according to Winston-Salem police. Police were called to the scene at about 12:20 p.m. to investigate the crash, according to officers. READ MORE:All US Highway 52 lanes near University Parkway back open after traffic crash involving tractor-trailer CHECK OUT WXII:Get the latest Greensboro, High Point and Winston-Salem news of the..."
N38390,news,newsfactcheck,"Fact check: Trump falsely claims his 2000 book demanded the killing of Osama bin Laden. After announcing the death of ISIS leader Abu Bakr al-Baghdadi, President Donald Trump on Sunday took questions from journalists -- and made a major false claim about his past statements on Osama bin Laden."
N28614,lifestyle,lifestyleroyals,A Look Back at Prince Charles and Camilla's Relationship Through the Years. In honor of the third season of The Crown.
N36417,health,weightloss,"This Guy Lost 200 Pounds and Got Jacked After Changing His Mindset. Omar Thaher topped out at 438 pounds. He started off with low-intensity cardio, and eventually graduated to more strenuous weightlifting routines."
N7359,tv,humor,"The 25 best sketch comedy shows of all time. With YouTube, along with various streaming services, it's never been easier to watch sketches from any era."
N30111,health,fitness,"Trainers Want You to Start Doing These 12 Exercises to Strengthen and Stabilize Your Core. Fitness professionals have varying opinions on many things, but they all agree on the importance of a strong core."
N22924,sports,football_ncaa,"Predicting the College Football AP Top 25 Poll for Week 8: LSU Climbs, Georgia Falls. This is how we predict the college football AP Top 25 poll will look in Week 8. The post Predicting the College Football AP Top 25 Poll for Week 8: LSU Climbs, Georgia Falls appeared first on Stadium."
N30003,sports,basketball_nba,"Ranking all 30 NBA head coaches. Right now the NBA seems pretty stacked with good head coaches, if we're being honest. That makes ranking them quite difficult   not that we were stopped by this fact, of course. Here is our ranking of the 30 men manning the baseline in the NBA."
N7210,finance,finance-companies,Facebook has finally decided that the best way to deliver news is to act like a newspaper. The limits of the platform model: Sometimes you need to pay humans to make and edit news.
N30190,lifestyle,lifestylehomeandgarden,"See inside the 300-square-foot tent that a couple transformed into a tiny home for their family. The family has lived in the tent for two years. It runs on solar power and features two beds, a composting toilet, and an outdoor shower."
N62394,news,newspolitics,Secretary of State Katie Hobbs apologizes to former Senate staffer who won discrimination lawsuit. The former Democratic policy adviser who won a discrimination lawsuit has now received a public apology from Secretary of State Katie Hobbs.
N46768,video,viral,Amazing Video Shows Massive Cruise Ship Squeezing Through Narrow Canal. Watch a massive cruise ship squeeze through a narrow canal.
N32183,tv,tv-recaps,"Dancing With the Stars Week 3 Recap: Who Should Go Home After Movie Night? And Who Nearly Did?. Dancing With the Stars went to the movies in its third Season 28 broadcast   and like any good film, Movie Night had its fair share of plot twists."
N60331,tv,tvnews,"Karen Pendleton Dies: Original Mouseketeer On Disney's 'The Mickey Mouse Club' Was 73. Karen Pendleton, one original Mouseketeers from The Mickey Mouse Club in the 1950s, died Sunday of a heart attack in Fresno, CA. She was 73. Author and Disney historian Lorraine Santoli announced the news today. Known for her shoulder-length blond curls, Pendleton was among the youngest of the original Mouseketeers. She appeared on The Mickey"
